days_from_onset,cl2,count,mean,std,min,25%,50%,75%,max,lowCI,highCI
0,0,4044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,8.0,-0.0058722804190169215,0.014380566580520865,-0.0410958904109589,-0.0014705882352941176,0.0,0.0,0.0,-0.015837504642480047,0.004092943804446203
30,1,3.0,-0.10329670329670326,0.11827361799625245,-0.2,-0.16923076923076924,-0.13846153846153847,-0.05494505494505491,0.028571428571428657,-0.23713590146551122,0.030542494872104697
60,0,19.0,-0.006222724511366754,0.028148393614914096,-0.04827586206896552,-0.01755952380952381,0.0,0.0,0.08849557522123894,-0.01887978589311494,0.00643433687038143
60,1,12.0,-0.10419883916270312,0.06928431416303872,-0.25375,-0.1060729404102898,-0.08571428571428572,-0.06944444444444445,-0.011002444987774957,-0.14340013024669915,-0.06499754807870708
90,0,37.0,-0.005433187430812303,0.026400140757961127,-0.045454545454545456,-0.025,0.0,0.0,0.06060606060606061,-0.01393989398525459,0.0030735191236299832
90,1,17.0,-0.07892111819592153,0.06295867835956709,-0.24615384615384617,-0.10606060606060606,-0.06896551724137931,-0.06,0.07368421052631588,-0.10884977411442368,-0.04899246227741938
120,0,44.0,-0.010284155624659747,0.023321083017692867,-0.05,-0.02627302275189599,0.0,0.0,0.0759493670886076,-0.01717509530038049,-0.003393215948939006
120,1,47.0,-0.08638116632713318,0.05330999115888545,-0.22142857142857142,-0.1224617307091534,-0.0847457627118644,-0.05444444444444445,0.0035377358490565705,-0.10162224668513475,-0.0711400859691316
150,0,77.0,-0.0013674145875079795,0.028305985640169378,-0.05,-0.0125,0.0,0.0,0.125,-0.0076899168114993735,0.004955087636483414
150,1,51.0,-0.07399656199838443,0.055401399689750414,-0.23076923076923078,-0.11095159967186219,-0.07462686567164178,-0.02260010491344646,0.03565891472868213,-0.08920174741449971,-0.058791376582269156
180,0,98.0,0.0008764444550828804,0.030348384717588196,-0.045454545454545456,-0.010863286264441644,0.0,0.006215505088266986,0.16,-0.005132229161839263,0.006885118072005024
180,1,91.0,-0.05713314244666384,0.06616412841829718,-0.22666666666666666,-0.08957219251336898,-0.05194805194805195,0.0,0.09107806691449825,-0.07072747754760508,-0.043538807345722595
210,0,123.0,0.07274472342841862,0.8153358478730861,-0.05,-0.027222222222222224,0.0,0.011075814668285576,9.032786885245903,-0.07134733748384675,0.21683678434068399
210,1,105.0,-0.06095821981406194,0.0810646118365725,-0.3728813559322034,-0.097799511002445,-0.0308641975308642,-0.0030441400304414435,0.032967032967033044,-0.07646396809261365,-0.045452471535510235
240,0,133.0,0.07180735502527409,0.7949536182992248,-0.05,-0.01244813278008287,0.0,0.017241379310344827,9.163934426229508,-0.06329783769108573,0.20691254774163392
240,1,157.0,-0.035911296804120627,0.06306008213796668,-0.3269230769230769,-0.06363636363636363,-0.01009316770186344,0.002967359050444935,0.03874999999999993,-0.04577547200372201,-0.02604712160451924
270,0,161.0,0.010308072367877539,0.02803441620915239,-0.047619047619047616,-0.0012771392081736184,0.0032608695652173603,0.027149321266968226,0.11666666666666667,0.0059776061990124,0.014638538536742678
270,1,194.0,-0.03151177337832127,0.05821136257417583,-0.31451612903225806,-0.05298026998961579,-0.012801233853865439,0.0013989410793218242,0.047499999999999966,-0.039703264624460693,-0.02332028213218185
300,0,192.0,0.10688614479364668,0.956061743258287,-0.04878048780487805,-0.0018699586858154898,0.0,0.01782236011445903,9.397590361445783,-0.028349568890211688,0.24212185847750506
300,1,259.0,-0.032836899663911935,0.07504539704871313,-0.897203947368421,-0.05320465557194015,-0.016152716593245145,0.0,0.06794871794871792,-0.04197656406142264,-0.023697235266401235
330,0,219.0,0.09650151356608569,0.879295537285364,-0.05,-0.0014348447712418042,0.0011273957158962156,0.02618721069775417,9.229508196721312,-0.019956367229815863,0.21295939436198724
