days_from_onset,cl2,count,mean,std,min,25%,50%,75%,max,lowCI,highCI
540,0,364.0,0.016924922973794207,0.03867521995830746,-0.04886769964243157,-0.0038854083317727208,0.006794943269537059,0.03376400826895879,0.21967213114754108,0.012951743603154703,0.020898102344433712
540,1,498.0,-0.05062431621396383,0.06591027197166757,-0.36046511627906974,-0.0819367193598751,-0.037435087091865285,0.0,0.13148788927335656,-0.056413195636712335,-0.04483543679121532
570,0,407.0,0.014836626440609268,0.0382477643085351,-0.04833512352309345,-0.006336945891463573,0.005747126436781609,0.0307815160476757,0.2524590163934427,0.01112071871263471,0.018552534168583826
570,1,516.0,-0.047726248916363775,0.07141109737758797,-0.8972477064220183,-0.0784670113074449,-0.03478523895946763,-0.0013687370257033822,0.14426229508196717,-0.05388789752632864,-0.04156460030639891
600,0,400.0,0.038072003540228036,0.43162417210057413,-0.048316251830161014,-0.006455999129772644,0.006488244332652749,0.032631389488840895,8.614285714285714,-0.004227165325628224,0.0803711724060843
600,1,520.0,-0.05025722058212356,0.0691378412072574,-0.5352564102564102,-0.0807608522395197,-0.03776816900849407,-0.0034010463466043685,0.2318840579710145,-0.05619973459282687,-0.044314706571420254
630,0,420.0,0.0366561268114467,0.40939331563510845,-0.05,-0.005531316356422218,0.010727783953442802,0.03274525404285244,8.37142857142857,-0.002497515914661831,0.07580976953755522
630,1,479.0,-0.06092577104850119,0.0760681738887423,-0.9057239057239057,-0.09514646191420771,-0.045075125208681066,-0.010258838383838405,0.08454545454545452,-0.06773803246257541,-0.054113509634426966
660,0,406.0,0.05848173172233546,0.5952118463988287,-0.046875,-0.006719549946422178,0.0035710878621172636,0.034494984434451786,8.738636363636363,0.0005835905484162796,0.11637987289625464
660,1,499.0,-0.03683594078736599,0.3786662295522275,-0.3707865168539326,-0.08379458391262906,-0.04255319148936164,-0.007382586902037703,8.252427184466018,-0.07006074067472945,-0.0036111409000025227
690,0,434.0,0.036583561781127115,0.39377070128450675,-0.04838709677419355,-0.004191489361702187,0.007199875596102011,0.03252346726974196,8.171428571428573,-0.0004635713229473454,0.07363069488520158
690,1,490.0,-0.040155632734978894,0.373844169724387,-0.33636363636363636,-0.08860759493670886,-0.04782611721475766,-0.010400424462924461,8.097087378640778,-0.07325720659148038,-0.007054058878477397
720,0,393.0,0.03863645731858018,0.4004866779866656,-0.04954954954954951,-0.008941877794336727,0.008805031446540917,0.035294117647058906,7.8999999999999995,-0.0009592285577538148,0.07823214319491417
720,1,436.0,-0.040667561719643475,0.3987086294725494,-0.9034354688950789,-0.09311502714749745,-0.05030200246680695,-0.01083236468580626,8.116504854368932,-0.0780931350540677,-0.0032419883852192466
750,0,432.0,0.05548865171073042,0.5470918970272167,-0.05,-0.00844881162879142,0.009398527865404866,0.03864545217333253,8.397727272727273,0.0038975882207764115,0.10707971520068443
750,1,515.0,-0.06478948806055033,0.07639789496205454,-0.9015784586815228,-0.09894929631771732,-0.05284552845528444,-0.01403174787818052,0.1694915254237288,-0.071387815283571,-0.058191160837529676
780,0,439.0,0.034407420400162037,0.36020203926321764,-0.05,-0.006894945923856228,0.0054466230936819175,0.0361498257839721,7.514285714285714,0.0007120698858563076,0.06810277091446776
780,1,422.0,-0.050508315431346956,0.39897663929623933,-0.9015784586815228,-0.10287552521008406,-0.057608334208407795,-0.020892423014586728,7.9611650485436884,-0.08857519811617744,-0.012441432746516476
810,0,410.0,0.022070298752627778,0.042727158431200674,-0.048042704626334566,-0.0024551553182050752,0.014845161006123066,0.04027866792813693,0.26885245901639354,0.01793441661423095,0.026206180891024607
810,1,381.0,-0.06996034037346029,0.06755792221189837,-0.34831460674157305,-0.10350584307178624,-0.057317073170731744,-0.021505376344086023,0.09378407851690287,-0.07674409088930907,-0.0631765898576115
840,0,361.0,0.0136417047576053,0.03564178407437688,-0.04993909866017046,-0.008113590263691656,0.006289308176100629,0.03200000000000003,0.18566775244299671,0.009964973347827474,0.017318436167383128
840,1,387.0,-0.07062888134474149,0.07252323747927114,-0.3863013698630137,-0.1069584465493453,-0.05502392344497601,-0.024613982189187318,0.20163934426229504,-0.07785454549864229,-0.06340321719084069
870,0,418.0,0.02206419827742192,0.047737696891109814,-0.04938271604938271,-0.006639187452538068,0.010591968650365272,0.038920739173995356,0.2903225806451613,0.017487741204176396,0.026640655350667442
870,1,338.0,-0.06517658389992487,0.08646572189547773,-0.3900497512437811,-0.10080039544478031,-0.056818181818181816,-0.026339648497635204,1.0238095238095237,-0.07439468979632992,-0.05595847800351982
900,0,367.0,0.01893013268939064,0.042715966698635414,-0.0496240601503759,-0.00891721192293706,0.010554089709762496,0.04096848340866673,0.29180327868852457,0.01455981227878321,0.02330045309999807
900,1,340.0,-0.07545909120057336,0.08180812107539451,-0.9010554089709762,-0.10344040499356044,-0.06064906113349912,-0.02992185172142913,0.16027397260273976,-0.08415496104807635,-0.06676322135307036
930,0,409.0,0.019000674352689203,0.04663816483342786,-0.047445255474452455,-0.008805031446540917,0.006289308176100629,0.03448275862068961,0.3235294117647059,0.014480701042474821,0.023520647662903585
930,1,284.0,-0.0800409001517922,0.06427025991600797,-0.368,-0.11417728499695237,-0.06603811677299527,-0.037824216387047374,0.04424778761061947,-0.08751582718408785,-0.07256597311949656
960,0,359.0,0.01450566200238778,0.040195233459749194,-0.05,-0.00852605757958959,0.004801920768307391,0.03160728160728162,0.318032786885246,0.010347672366171652,0.01866365163860391
960,1,278.0,-0.07895502230181378,0.0650051751076364,-0.3926701570680629,-0.11505557180462123,-0.07087371693964901,-0.03383077368878587,0.08246073298429316,-0.08659657488451854,-0.07131346971910903
990,0,393.0,0.019580741356271806,0.05602873235591504,-0.04999999999999995,-0.011583011583011655,0.004552352048558379,0.03349875930521096,0.55,0.01404124102241084,0.025120241690132772
990,1,244.0,-0.08354168692955465,0.06768158269490553,-0.36507936507936506,-0.11577145181887022,-0.07154502369668247,-0.04,0.08575380359612729,-0.09203411083318712,-0.07504926302592217
1020,0,354.0,0.015873471390878625,0.043898929038545684,-0.04910179640718556,-0.009609842105858052,0.006272359130918255,0.031075572855464185,0.3491803278688524,0.011300395952649738,0.02044654682910751
1020,1,213.0,-0.09537683569776485,0.06981051868228375,-0.38320209973753283,-0.13034623217922603,-0.08139534883720935,-0.05359477124182999,0.05522388059701497,-0.1047521780265126,-0.0860014933690171
1050,0,364.0,0.014325484056229586,0.04811932925370235,-0.04926108374384236,-0.015470307558805121,0.003384879725085898,0.028830371797616477,0.2972972972972973,0.009382093261660798,0.019268874850798375
1050,1,186.0,-0.10284062945424063,0.07453571065191464,-0.3225806451612903,-0.13902616279069768,-0.09325757575757578,-0.06171942413370268,0.35269709543568467,-0.11355246744874688,-0.09212879145973439
1080,0,343.0,0.013213611062788724,0.04106178043058503,-0.049765258215962414,-0.011386895114609866,0.0038412291933420154,0.026912667251172213,0.2448132780082987,0.008868040686434056,0.017559181439143392
1080,1,163.0,-0.09551419062677842,0.07655192505715419,-0.363376251788269,-0.1299703953096883,-0.08450704225352113,-0.059534069722447,0.21466905187835433,-0.10726636929924978,-0.08376201195430706
